"","Studentnummer","Landen_vooropleiding","BSA"
"1675","4405713","UK","Positief"
"1403","4406085","GE","Positief"
"1225","4406107","NL","Negatief"
"814","4406221","NL","Positief"
"1536","4406474","IT","Negatief"
"2112","4406505","US","Positief"
"1921","4406684","US","Positief"
"299","4407151","NL","Negatief"
"1084","4407666","NL","Positief"
"1339","4407889","GE","Positief"
"815","4407933","NL","Positief"
"856","4408217","NL","Positief"
"2144","4408458","US","Positief"
"650","4408840","NL","Negatief"
"189","4408997","NL","Positief"
"961","4409006","NL","Positief"
"2075","4409898","US","Positief"
"70","4410135","NL","Positief"
"946","4410372","NL","Positief"
"1460","4410488","GE","Positief"
"1069","4410564","NL","Positief"
"482","4410618","NL","Positief"
"1313","4410988","GE","Positief"
"1676","4411082","UK","Positief"
"1141","4411240","NL","Positief"
"586","4411618","NL","Positief"
"560","4411735","NL","Positief"
"1398","4411860","GE","Positief"
"925","4411949","NL","Negatief"
"164","4412457","NL","Positief"
"703","4412937","NL","Positief"
"454","4413665","NL","Positief"
"1112","4413671","NL","Positief"
"1596","4414027","IT","Positief"
"1340","4414341","GE","Positief"
"1300","4414459","GE","Positief"
"1159","4414493","NL","Negatief"
"1592","4414516","IT","Positief"
"42","4414538","NL","Positief"
"430","4414886","NL","Positief"
"179","4415057","NL","Positief"
"638","4415101","NL","Positief"
"1295","4415252","GE","Negatief"
"1833","4415295","BE","Positief"
"83","4415341","NL","Positief"
"1111","4415387","NL","Positief"
"157","4416408","NL","Positief"
"201","4416638","NL","Positief"
"2104","4417095","US","Negatief"
"2188","4418155","US","Positief"
"722","4418381","NL","Positief"
"908","4418668","NL","Positief"
"1326","4419304","GE","Positief"
"678","4419667","NL","Positief"
"1126","4419835","NL","Positief"
"728","4419836","NL","Positief"
"2035","4420935","US","Positief"
"1832","4421388","BE","Negatief"
"1970","4421440","US","Positief"
"845","4421624","NL","Positief"
"2168","4421699","US","Positief"
"230","4421788","NL","Positief"
"964","4421902","NL","Positief"
"224","4422147","NL","Positief"
"1946","4422368","US","Negatief"
"1222","4422453","NL","Positief"
"950","4423431","NL","Positief"
"181","4423622","NL","Positief"
"719","4423670","NL","Positief"
"1672","4423918","UK","Positief"
"1792","4423945","BE","Negatief"
"497","4423977","NL","Positief"
"178","4424144","NL","Positief"
"377","4424180","NL","Positief"
"742","4424503","NL","Positief"
"53","4424549","NL","Positief"
"1437","4424640","GE","Positief"
"1955","4424679","US","Positief"
"1793","4424904","BE","Negatief"
"1776","4425335","ES","Positief"
"287","4425660","NL","Positief"
"686","4426084","NL","Positief"
"90","4426202","NL","Positief"
"332","4426467","NL","Positief"
"1816","4426822","BE","Positief"
"1929","4427364","US","Negatief"
"1251","4427811","NL","Positief"
"899","4427821","NL","Positief"
"340","4428004","NL","Positief"
"212","4428465","NL","Positief"
"295","4428526","NL","Positief"
"680","4428647","NL","Positief"
"801","4428661","NL","Positief"
"2185","4428811","US","Negatief"
"1140","4428823","NL","Positief"
"22","4429459","NL","Positief"
"1142","4429862","NL","Positief"
"1047","4430102","NL","Positief"
"903","4430763","NL","Positief"
"813","4431182","NL","Positief"
"877","4431379","NL","Positief"
"1996","4431731","US","Negatief"
"968","4432179","NL","Positief"
"898","4432248","NL","Negatief"
"333","4432432","NL","Positief"
"737","4432564","NL","Positief"
"125","4432772","NL","Positief"
"1161","4433201","NL","Positief"
"1918","4433379","US","Positief"
"158","4434157","NL","Positief"
"1634","4434319","UK","Positief"
"924","4434348","NL","Positief"
"1988","4434582","US","Positief"
"115","4434596","NL","Positief"
"673","4435667","NL","Positief"
"1957","4436174","US","Positief"
"548","4436440","NL","Positief"
"1966","4436466","US","Positief"
"4","4436522","NL","Positief"
"243","4436688","NL","Positief"
"18","4437024","NL","Positief"
"1629","4437192","UK","Positief"
"1478","4437414","GE","Positief"
"697","4437502","NL","Negatief"
"146","4437875","NL","Positief"
"1367","4437972","GE","Positief"
"536","4438182","NL","Positief"
"242","4438322","NL","Positief"
"1915","4438354","US","Negatief"
"1056","4438453","NL","Negatief"
"818","4438537","NL","Positief"
"834","4438886","NL","Positief"
"1574","4438974","IT","Negatief"
"775","4439172","NL","Positief"
"1591","4439424","IT","Negatief"
"251","4439679","NL","Positief"
"953","4439879","NL","Negatief"
"695","4440056","NL","Positief"
"1419","4440103","GE","Positief"
"2041","4440520","US","Positief"
"199","4440643","NL","Positief"
"55","4441174","NL","Positief"
"265","4441235","NL","Positief"
"538","4441529","NL","Negatief"
"1310","4441834","GE","Positief"
"1825","4441884","BE","Positief"
"1673","4442021","UK","Positief"
"1329","4442218","GE","Positief"
"1523","4442936","GE","Positief"
"2118","4442961","US","Positief"
"1337","4443967","GE","Negatief"
"960","4444008","NL","Positief"
"98","4444520","NL","Positief"
"1847","4444746","BE","Positief"
"933","4444756","NL","Positief"
"2048","4444879","US","Positief"
"783","4444908","NL","Positief"
"1226","4445155","NL","Positief"
"48","4445468","NL","Positief"
"317","4445567","NL","Positief"
"1414","4445657","GE","Negatief"
"2109","4446724","US","Positief"
"1746","4447575","ES","Positief"
"1267","4447778","NL","Positief"
"1660","4447996","UK","Positief"
"1477","4447999","GE","Positief"
"1019","4448402","NL","Negatief"
"726","4448430","NL","Positief"
"1999","4448467","US","Positief"
"493","4448468","NL","Positief"
"746","4448882","NL","Positief"
"245","4448892","NL","Positief"
"891","4449407","NL","Positief"
"1798","4449453","BE","Negatief"
"583","4449498","NL","Positief"
"2186","4449946","US","Negatief"
"1280","4450046","NL","Positief"
"810","4450107","NL","Positief"
"886","4450399","NL","Positief"
"781","4450574","NL","Positief"
"718","4451001","NL","Positief"
"2071","4451804","US","Positief"
"1210","4451889","NL","Positief"
"361","4452345","NL","Negatief"
"604","4452425","NL","Positief"
"793","4452581","NL","Negatief"
"2","4452736","NL","Positief"
"1085","4452781","NL","Negatief"
"645","4452867","NL","Positief"
"1783","4453234","BE","Negatief"
"770","4453252","NL","Positief"
"1199","4453494","NL","Positief"
"655","4453644","NL","Positief"
"948","4454209","NL","Positief"
"1369","4454255","GE","Positief"
"209","4454333","NL","Negatief"
"690","4454473","NL","Positief"
"782","4454486","NL","Positief"
"1735","4454503","ES","Negatief"
"1878","4454818","BE","Negatief"
"233","4455266","NL","Positief"
"670","4455403","NL","Positief"
"2155","4455567","US","Positief"
"1498","4455636","GE","Positief"
"161","4455707","NL","Positief"
"800","4455726","NL","Positief"
"1646","4455797","UK","Positief"
"484","4455802","NL","Positief"
"1956","4456109","US","Negatief"
"1944","4456145","US","Positief"
"40","4456171","NL","Positief"
"191","4456347","NL","Negatief"
"963","4456602","NL","Negatief"
"930","4456613","NL","Positief"
"1341","4456888","GE","Positief"
"1754","4457289","ES","Positief"
"1643","4457914","UK","Positief"
"151","4458168","NL","Positief"
"255","4458353","NL","Positief"
"2178","4458447","US","Positief"
"995","4459450","NL","Positief"
"423","4459495","NL","Positief"
"1471","4459593","GE","Positief"
"2002","4459703","US","Positief"
"1370","4459867","GE","Negatief"
"911","4460053","NL","Positief"
"699","4460179","NL","Positief"
"1649","4460603","UK","Positief"
"256","4460677","NL","Positief"
"1006","4461016","NL","Negatief"
"1233","4461133","NL","Positief"
"439","4461562","NL","Positief"
"2053","4461785","US","Positief"
"1118","4461802","NL","Positief"
"769","4461866","NL","Negatief"
"872","4462067","NL","Positief"
"998","4462177","NL","Positief"
"2023","4462437","US","Negatief"
"833","4462593","NL","Positief"
"640","4463599","NL","Positief"
"934","4463908","NL","Positief"
"555","4463946","NL","Positief"
"1395","4464368","GE","Positief"
"1385","4464372","GE","Positief"
"787","4464597","NL","Positief"
"2019","4464921","US","Negatief"
"744","4464990","NL","Positief"
"1603","4465058","IT","Positief"
"1841","4465484","BE","Positief"
"1562","4465496","IT","Positief"
"58","4465514","NL","Positief"
"1787","4465897","BE","Positief"
"698","4466319","NL","Positief"
"890","4466325","NL","Positief"
"661","4466642","NL","Positief"
"325","4466841","NL","Negatief"
"1055","4466847","NL","Positief"
"819","4466882","NL","Positief"
"648","4466919","NL","Positief"
"362","4467177","NL","Positief"
"1964","4467380","US","Positief"
"141","4467837","NL","Negatief"
"2007","4467984","US","Positief"
"1043","4468204","NL","Positief"
"1845","4468364","BE","Negatief"
"1315","4468613","GE","Negatief"
"1689","4468635","UK","Negatief"
"873","4468795","NL","Positief"
"628","4469263","NL","Positief"
"1092","4469302","NL","Positief"
"502","4469433","NL","Positief"
"635","4469450","NL","Negatief"
"169","4470315","NL","Positief"
"2063","4470337","US","Positief"
"771","4470474","NL","Negatief"
"1017","4470625","NL","Positief"
"1268","4471066","NL","Positief"
"363","4471354","NL","Negatief"
"367","4472261","NL","Negatief"
"2020","4472375","US","Positief"
"2069","4472742","US","Positief"
"1020","4472812","NL","Positief"
"1248","4472906","NL","Positief"
"1074","4473286","NL","Positief"
"907","4473587","NL","Positief"
"1544","4473878","IT","Positief"
"1266","4474425","NL","Positief"
"27","4474795","NL","Positief"
"1960","4474834","US","Positief"
"2057","4474974","US","Negatief"
"1242","4475171","NL","Positief"
"905","4475251","NL","Positief"
"1435","4475382","GE","Positief"
"1181","4475633","NL","Positief"
"33","4475661","NL","Positief"
"987","4475894","NL","Positief"
"1166","4476592","NL","Positief"
"1728","4477038","UK","Positief"
"2153","4477455","US","Positief"
"1873","4477903","BE","Negatief"
"599","4478280","NL","Positief"
"505","4478997","NL","Positief"
"777","4479856","NL","Positief"
"145","4480183","NL","Positief"
"1813","4480348","BE","Positief"
"1616","4480407","UK","Positief"
"702","4480496","NL","Positief"
"917","4480862","NL","Negatief"
"108","4481032","NL","Positief"
"1539","4481497","IT","Positief"
"1883","4481574","US","Positief"
"2054","4481713","US","Positief"
"410","4481798","NL","Positief"
"662","4481911","NL","Positief"
"985","4482433","NL","Positief"
"1060","4482706","NL","Positief"
"1842","4483386","BE","Positief"
"562","4483478","NL","Positief"
"264","4483608","NL","Positief"
"1288","4483839","GE","Positief"
"2093","4484800","US","Positief"
"510","4485162","NL","Positief"
"2175","4485192","US","Positief"
"296","4485345","NL","Positief"
"2190","4485472","US","Positief"
"1928","4485605","US","Negatief"
"2001","4485696","US","Positief"
"1560","4486117","IT","Positief"
"1173","4486249","NL","Positief"
"533","4486457","NL","Positief"
"330","4486676","NL","Positief"
"1791","4486751","BE","Positief"
"449","4486824","NL","Positief"
"1230","4487280","NL","Positief"
"1037","4487476","NL","Positief"
"1114","4487533","NL","Negatief"
"1059","4487717","NL","Negatief"
"543","4487960","NL","Positief"
"288","4488275","NL","Positief"
"1394","4488509","GE","Positief"
"1099","4488651","NL","Positief"
"1858","4488789","BE","Negatief"
"1580","4488936","IT","Positief"
"1853","4488977","BE","Positief"
"1642","4489648","UK","Positief"
"336","4489783","NL","Positief"
"223","4489907","NL","Positief"
"689","4489925","NL","Positief"
"2129","4490292","US","Positief"
"1382","4490360","GE","Positief"
"1948","4490642","US","Positief"
"1401","4491031","GE","Negatief"
"888","4491047","NL","Positief"
"846","4491074","NL","Positief"
"643","4491251","NL","Positief"
"1906","4491577","US","Positief"
"2134","4491637","US","Negatief"
"598","4491648","NL","Positief"
"405","4491882","NL","Positief"
"68","4492020","NL","Positief"
"835","4492184","NL","Positief"
"2145","4492219","US","Negatief"
"786","4492498","NL","Positief"
"328","4492537","NL","Positief"
"29","4492741","NL","Positief"
"552","4493106","NL","Negatief"
"1058","4493138","NL","Positief"
"67","4493225","NL","Positief"
"282","4493358","NL","Positief"
"1324","4493439","GE","Positief"
"1436","4493577","GE","Positief"
"956","4493774","NL","Positief"
"1843","4494051","BE","Negatief"
"2121","4494114","US","Positief"
"468","4494127","NL","Positief"
"356","4494294","NL","Negatief"
"1483","4494303","GE","Positief"
"93","4494642","NL","Negatief"
"1801","4494695","BE","Positief"
"1165","4495250","NL","Positief"
"1540","4495807","IT","Negatief"
"763","4495811","NL","Positief"
"1666","4495961","UK","Positief"
"2079","4496071","US","Positief"
"349","4496650","NL","Positief"
"486","4496663","NL","Positief"
"1297","4496726","GE","Positief"
"1977","4496922","US","Positief"
"1613","4496952","UK","Positief"
"1744","4497016","ES","Positief"
"1875","4497023","BE","Negatief"
"1343","4497196","GE","Negatief"
"848","4497280","NL","Positief"
"1992","4497301","US","Positief"
"2082","4497315","US","Positief"
"2029","4497329","US","Negatief"
"1561","4497450","IT","Positief"
"988","4497730","NL","Positief"
"1572","4498419","IT","Negatief"
"216","4498712","NL","Positief"
"2040","4498768","US","Positief"
"796","4499005","NL","Positief"
"2122","4499139","US","Positief"
"1835","4499509","BE","Negatief"
"1737","4499564","ES","Positief"
"1212","4499591","NL","Positief"
